id,tweet,label,domain,sentiment,emotion,Severity,Explain
1,@FC_HELP can I return online purchases to a House of Fraser concesssion if I have the delivery note and order details?,0,apparel,Neutral,other,0,can I return online purchases to a House of Fraser concesssion if I have the delivery note and order details?
2,"@FC_Help Hi - I'm writing a piece for MSN Him and wondered who I could talk in the PR dept about this season's clothes/trends, etc? Help!",0,apparel,Positive,other,0,"Hi - I'm writing a piece for MSN Him and wondered who I could talk in the PR dept about this season's clothes/trends, etc? Help!"
3,@FC_Help   i need to check my order,0,apparel,Neutral,other,0,i need to check my order
4,@FC_Help I need to get in contact with someone regarding the fc.com website. I work for a major search engine. Tried enquiries@ and web form,1,apparel,Neutral,other,1,I need to get in contact with someone regarding the fc.com website.
5,@FC_Help How can I get a hold of you so we can discuss the problem I am havnig with my coat?,0,apparel,Negative,other,0,How can I get a hold of you so we can discuss the problem I am havnig with my coat?
6,@FC_Help Will you be getting the wendy cotton v neck dress in pavlova back in stock on the site?,1,apparel,Neutral,other,1,Will you be getting the wendy cotton v neck dress in pavlova back in stock
7,"Build new system? @nvidia forgot to put a bootable USB stick with the cards. So buy another card, install with that and put the fermi in.",0,electronics,Neutral,anger,0,"forgot to put a bootable USB stick with the cards. So buy another card, install with that and put the fermi in."
8,@NVIDIAGeForce If I connect a #GTX580 to a TV through HDMI will I get audio output as well?,0,electronics,Positive,other,0,If I connect a #GTX580 to a TV through HDMI will I get audio output as well?
9,@FC_Help Please could you point me in the direction of your PR department. I need to contact them with regards to some client work.,0,apparel,Positive,other,0,Please could you point me in the direction of your PR department. I need to contact them with regards to some client work.
10,@FC_Help looking for models / actors or dancers ? Olivier,0,apparel,Neutral,other,0,looking for models / actors or dancers ? Olivier
11,@FC_Help hi m order is 913181  did you  revise the money? if you did.. how about the shipping ?,1,apparel,Neutral,other,1,did you revise the money? if you did.. how about the shipping ?
12,"@FC_Help looking for ""bright carol"" or ""stained glass"" dress. do you have these in stock anymore?",0,apparel,Positive,other,0,"looking for ""bright carol"" or ""stained glass"" dress. do you have these in stock anymore?"
13,"@FC_Help not sure if those are official names for dress, but here is image of it. I really want to find it somewhere! http://bit.ly/iMCQsl",0,apparel,Positive,other,0,"not sure if those are official names for dress, but here is image of it. I really want to find it somewhere!"
14,@FC_Help Thanks! Do you have any idea of the actual name of the dress?,0,apparel,Positive,other,0,Thanks! Do you have any idea of the actual name of the dress?
15,@nvidiacc Anyone know what's up with the Geforce 500 series 580 GPX Driver 275.33,1,electronics,Neutral,other,1,Anyone know what's up with the Geforce 500 series 580 GPX Driver
16,"Dear @nvidia, I don't think I should have to roll back to driver v270.61 to make my games work, and my desktop not glitch out.",1,electronics,negative,anger,3,"I don't think I should have to roll back to driver v270.61 to make my games work, and my desktop not glitch out."
17,"@nvidiacc It might have been a bad overclock. Also, it normal to have flickering in certain applications while running SLI?",1,electronics,Negative,other,2,"Also, it normal to have flickering in certain applications while running SLI?"
18,@nvidiacc Thank you for getting back to me on this. So this is a known issue? How will you publicize a solution? Any ideas on an ETA?,0,electronics,Positive,other,0,So this is a known issue? How will you publicize a solution? Any ideas on an ETA?
19,"@nvidiacc so far, the mac graphics drivers have been another disappointing update (for both my Quadro 4000 & GTX-285),",1,electronics,Negative,sadness,2,mac graphics drivers have been another disappointing update
20,@nvidiacc any specific application or benchmark?  I'll check next time I swap it out with the GTX-285 for testing,0,electronics,Neutral,other,0,any specific application or benchmark? I'll check next time I swap it out with the GTX-285 for testing
21,@FC_Help is it possible to exchange a French Connection dress bought in John Lewis in your store?,0,apparel,Neutral,other,0,is it possible to exchange a French Connection dress bought in John Lewis in your store?
22,"hi @FC_HELP, i made a complaint in one of your stores 5 days ago and no one has dealt with it. who's best to contact at head office, please?",1,apparel,neutral,sadness,4,i made a complaint in one of your stores 5 days ago and no one has dealt with it
23,@FC_Help what is your policy on false advertising regarding sale items? I was refused a sale in westfield due to a company error on pricing,1,apparel,Negative,sadness,3,I was refused a sale in westfield due to a company error on pricing
24,".@nvidiacc @NVIDIAQuadro CUDA driver Lion update, please? http://t.co/cil6HT1",1,electronics,Positive,other,1,"CUDA driver Lion update, please"
25,"@FC_Help Hi, I have otto frill dress, never worn but lost receipt, discovered it has small fraying of fabric at bottom of zip - help! thanks",1,apparel,neutral,sadness,1,"otto frill dress, never worn but lost receipt, discovered it has small fraying of fabric at bottom of zip - help"
26,"@FC_Help request: have shift dress from 08 spring/summer collection - any chance that 1. there r any left,  or 2. u'll make dress again?!",1,apparel,Positive,other,1,"any chance that 1. there r any left, or 2. u'll make dress again"
27,@nvidiacc Hrm ok. I guess the question is can I run 2 x 1920x1200 projectors from a Quadro 2000 then?,0,electronics,Neutral,other,0,I guess the question is can I run 2 x 1920x1200 projectors from a Quadro 2000 then?
28,"@nvidiacc will BFBC2 run smoothly at 900x1600 on high settings, on an alienware m14x with the standard video card? 1.5 gigs of vram.",0,electronics,Neutral,other,0,"will BFBC2 run smoothly at 900x1600 on high settings, on an alienware m14x with the standard video card?"
29,"My Graphics Card has gone to Graphics Card Heaven..R.I.P my @nvidia 8800 GTS, you served me well (Military Funeral Music Begins)",0,electronics,Negative,sadness,0,My Graphics Card has gone to Graphics Card Heaven.
30,@nvidiacc what's nvidia gonna do for linux users as optimus further creeps into the gtx lines. what about synergy?,0,electronics,Neutral,other,0,what's nvidia gonna do for linux users as optimus further creeps into the gtx lines. what about synergy?
31,"@nvidia You guys are insane, such remarkable minds to created such a powerful product yet so small! I applaud Nvidias work.",0,electronics,Positive,joy,0,"You guys are insane, such remarkable minds to created such a powerful product yet so small! I applaud Nvidias work."
32,@nvidia hi please i cant find a driver for video card (nvidia geforce 8500 gt) for mac please send me a link when i can download a driver,1,electronics,neutral,sadness,1,i cant find a driver for video card (nvidia geforce 8500 gt) for mac
33,@nvidiacc I own two gtx 460 in sli. I want to try windows 8 dev preview. Which driver should I use. Can I use the windows 7 one.,0,electronics,Positive,other,0,I want to try windows 8 dev preview. Which driver should I use. Can I use the windows 7 one.
34,"Thanks to @NVIDIAQuadro's incompetence I now can't work till October 4th, when the ATI card arrives.",1,electronics,Negative,sadness,4,"Thanks to incompetence, I now can't work till October 4th"
35,"@nvidiacc from the beginning it never worked right, driver issues (drvs in wrong places), now with the last CUDA update it broke the Mac.",1,electronics,Negative,anger,2,"from the beginning it never worked right, driver issues (drvs in wrong places), now with the last CUDA update it broke the Mac."
36,@nvidiacc ASUS G60 Series. Bought it to play games but guess not BF3,1,electronics,neutral,sadness,1,Bought it to play games but guess not BF3
37,"@nvidiacc something will trigger my two displays to turn off, then on again, and then I get message saying driver stopped responding",1,electronics,Negative,sadness,1,"something will trigger my two displays to turn off, then on again, and then I get message saying driver stopped responding"
38,@FC_Help Hey i was wondering if you were getting any more gold samantha sequin dresses in? Desperate for one!,1,apparel,Negative,other,3,getting any more gold samantha sequin dresses in? 
39,"I placed an order with express delivery on 19th and have been given a tracking number, but HDL say its invalid? order is 50770571 @FC_Help",1,apparel,Neutral,sadness,1,"I placed an order with express delivery on 19th and have been given a tracking number, but HDL say its invalid?"
40,"@FC_Help I have just received an email regarding an order I've placed.  I don't recall placing any order with you, so please can you advise?",1,apparel,Positive,other,1,"I have just received an email regarding an order I've placed.  I don't recall placing any order with you, so please can you advise?"
41,"@black_deckerus hey guys, I love this product featured on @thenester today but don't see a price? Help a girl out? http://t.co/4aydP3Dj0E",1,other,Positive,other,1,but don't see a price?
42,@NYTsupport Are you following me?  I seem unable to send you a DM.,1,other,Neutral,other,1, I seem unable to send you a DM
43,@NYTsupport Horrified over the 135% price hike for the xword app. Will not be renewing at that price for an app with half the functionality.,1,other,Negative,anger,2, Horrified over the 135% price hike for the xword app. Will not be renewing at that price for an app with half the functionality.
44,"@NYTsupport I use the NYT App on my iPad 2, iPad Mini and iPhone 5S. All receive an error message that the connection failed with Twitter.",1,other,Negative,other,1,"I use the NYT App on my iPad 2, iPad Mini and iPhone 5S. All receive an error message that the connection failed with Twitter."
45,@nytsupport signed up to nyt subscription on a special offer at SXSW (delayed start) but I don't think it ever started... how can I check?,1,other,neutral,sadness,1,signed up to nyt subscription on a special offer at SXSW (delayed start) but I don't think it ever started... how can I check?
46,@NYTsupport So what do I need to do to contact customer care for INYT.  Totally stumped and I've been trying very hard. :-(,1,other,Negative,sadness,2,what do I need to do to contact customer care for INYT. Totally stumped and I've been trying very hard. :-(
47,"@maytha_maytha you successfully registered that email with http://t.co/vUNQnH84Ya, but that does not entitle you to unlimited articles.",0,other,Positive,other,0, you successfully registered that email
48,@NYTsupport  Being charged 2x month. No reply to my email sent months ago.Pls cancel everything! How?,1,other,Negative,anger,3,Being charged 2x month.  No reply to my email sent months ago.
49,"@NYTsupport logged into the website, but article still demanding i sign in http://t.co/mcgkfk7fSx",1,other,Negative,other,1,"logged into the website, but article still demanding i sign in http://t.co/mcgkfk7fSx"
50,@NYTsupport how come the weekend delivery arrives so late in the morning - i'd love to read w/ my coffee!,1,other,negative,anger,2,how come the weekend delivery arrives so late in the morning
51,"Really @blackanddecker? 1st replacement blender lasted 5 smoothies, 2nd replacement blender not even 1. #badservice #badproduct",1,other,negative,sadness,3,"1st replacement blender lasted 5 smoothies, 2nd replacement blender not even 1. #badservice #badproduct"
52,"@KristaMariePark Thank you for your interest! If you decide to cancel, you can call Customer Care at 1-800-NYTIMES.",0,other,Positive,other,0,Thank you for your interest! 
53,@TommyHilfiger Dramatic shopping exp. ordered 6 jeans same size (30/32) 2 fits / 2 too large / 2 too slim : same brand &gt; different sizing,1,apparel,Neutral,sadness,2,ordered 6 jeans same size (30/32) 2 fits / 2 too large / 2 too slim : same brand &gt; different sizing
54,@CarsonArthur @LeighAnnAllaire @blackanddecker love this trimmer! Making the sidewalk look sharp http://t.co/9XBRm9cl9i,0,other,Positive,joy,0,love this trimmer! Making the sidewalk look sharp
55,Need help @nytsupport delivery of the @nytimes on Sundays to any stores in or around Grapevine TX is lacking. Most Sundays non existent? Y?,1,other,neutral,sadness,3,delivery of the @nytimes on Sundays to any stores in or around Grapevine TX is lacking. Most Sundays non existent? Y?
56,I'm booked july 31st through august 3 for that racist bastard tommy hilfiger. I need a place to stay in charlotte. What's up north Carolina?,0,apparel,Negative,anger,0,I need a place to stay in charlotte. What's up north Carolina?
57,@TommyHilfiger having problems on your site. Just spoke to my bank @HSBC_UK_Help and they say no issues their side?? http://t.co/5MOejf0he0,1,apparel,Negative,sadness,1,having problems on your site.spoke to my bank @HSBC_UK_Help and they say no issues their side?? 
58,@NYTsupport The new update to the Xword app addresses almost every issue since the redesign. Thanks for listening to your customers!!,0,other,Positive,joy,0,The new update to the Xword app addresses almost every issue since the redesign.
59,@blackanddecker is the lbxr2020-ope compatible with lst1018 which uses lb018-ope?,0,other,Neutral,other,0,no cause
60,@TommyHilfiger you jave the worst customer service!!! #pissed #useless #worstbrand,1,apparel,Negative,anger,4,you jave the worst customer service! #pissed #useless #worstbrand
61,@TommyHilfiger need old school tommy tops and jumpers where can you get them from these days.  #90sClobber,1,apparel,Positive,other,2,need old school tommy tops and jumpers where can you get them from these days.
62,@NYTsupport my NYT digital subscription account keeps logging me out when I go to read opinion pieces. Any suggestions?,1,other,Neutral,sadness,2,my NYT digital subscription account keeps logging me out when I go to read opinion pieces. Any suggestions?
63,@NYTsupport why is it so hard to cancel or start a subscription? I now have three dormant accounts that you will not allow me to delete,1,other,Negative,anger,4,why is it so hard to cancel or start a subscription? I now have three dormant accounts that you will not allow me to delete
64,"BTW @crantraf -- @blackanddecker did me right, and replaced my two failed batteries under warranty. I'm happy :) Thanks @blackanddecker !",0,other,Positive,joy,0,"did me right, and replaced my two failed batteries under warranty. I'm happy :) Thanks"
